YEAR,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ECONOMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual economies,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
United Nations member States,-5.616913145,-5.333427513,-2.989314374,-6.138879962,-8.99429141,-4.962206621,-4.14519938,-5.272241523,-4.65575385,-6.270305165,-4.793443526,-4.178413841,-5.040855328,-4.514257253,-4.858905344,-4.364600005,-4.447156263,-4.468705117,-4.779770998,-4.003617122,-3.674244694,-3.279259753,-3.513182555,-3.088041475,-3.016026527,-2.280711431,-1.869483851,-3.484464116,-3.184967528,-3.424274318,-3.686136001,-2.025288433,-1.785115233,-2.457447074,-2.914946054,-2.391212431,-3.181248472,-3.487936411,-3.951865823,-3.348847108,-3.515112362,-3.827159133,-3.471238463,-3.61797835,-3.272081947,-1.721294319,-1.213469645,-0.823338947,-1.418617148,-1.209281702,-2.107331682,-2.41761833,-3.104466786,-3.578474966,-2.720819708,-2.675556821,-2.779936754,-2.6357547,-1.880380133,-1.466716368,-1.849457253,-1.020505752,-0.560421949,-0.281626219,-0.496758196,0.349471829,0.092546165,-0.893112845,-1.007543954,-1.377957385,-1.689198097,-1.653856818
"ACP (African, Caribbean and Pacific Group of States)",-1.90517451,-4.658126713,11.21317856,1.831061902,-3.850462418,4.941572028,0.097315957,-3.881789434,-0.728362537,-6.61335299,-8.812359418,0.532892013,-1.038631026,-1.106850214,1.249722729,3.146315571,-2.26687261,-6.100980546,-1.737932934,-3.811816095,-0.865793016,-1.136022766,-5.489869412,-12.54257009,-3.057504533,8.822092507,21.37052028,-0.743691348,4.480336172,5.96363609,-5.211258196,19.5060118,7.317870694,-16.3817809,-17.96283999,-9.122330526,-1.086244899,6.522402244,-3.3517353,0.504281511,-4.468515624,-2.090771563,10.01465204,0.541050055,-2.130601813,-1.144100594,-4.122952814,-8.157658645,-2.31419149,-9.357315962,-20.40256344,-11.9390809,-0.307587469,-8.185469046,-2.494396692,-3.481729551,2.989936054,4.837049723,3.808739119,2.422208505,2.852834872,-8.150620655,5.777749922,8.699226772,1.398322173,-7.699857197,-8.053201662,-23.57139281,-22.25941607,-12.60692176,-12.22489503,-15.89907282
  ACP: Africa,-5.721545535,-7.993656206,11.85503893,1.11226412,-2.755496164,4.043278387,0.294929387,-3.513639707,0.855250712,-7.443779986,-7.773885753,6.217639985,1.665214121,2.689294704,8.895720654,12.20870793,6.649985202,-0.470553569,8.86260721,4.957467477,10.07219316,12.68464344,3.472914509,-3.535651337,7.965717864,20.09008594,35.13388919,2.703995254,11.48125725,13.20058536,-3.737848177,28.81282978,17.10720738,-15.83770446,-15.19313631,-4.055373328,7.951607462,19.09828679,8.489229458,11.23605785,2.026289864,8.2875296,18.58750279,7.855211974,3.416209348,6.704920917,1.931231198,-2.630740845,6.152952521,0.123846935,-12.41940734,-1.44258152,14.93065088,4.038885589,12.40547957,5.99937952,12.13009164,14.68322301,12.22131369,10.87091183,11.85380846,-1.038111497,14.31079209,16.48171242,8.193409158,-2.637282501,-3.485577181,-20.99002896,-18.74576346,-8.014358517,-7.039650173,-11.42760815
    ACP: Central Africa,7.16112532,-10.47381546,15.01103753,12.69592476,-8.430609598,14.04833837,10.9375,16.68367627,18.12636248,0.605407742,2.850475782,26.24289603,35.57222004,12.42751204,42.72021334,59.16485103,51.57534938,37.58002521,48.53689586,30.68584395,50.18409379,61.67590809,60.53203353,38.14942121,43.03847307,62.4828763,107.8954007,62.42255418,75.97242316,50.92076003,30.53915904,74.94874622,50.17722478,29.41397772,43.90925366,46.22002819,59.82592802,44.49125583,3.689178744,11.62010138,38.20263981,57.70438297,74.0743155,84.95540538,82.94299943,108.1351406,89.65773424,94.98493287,75.12046409,81.26151901,47.71225185,66.24822112,126.781163,73.13231794,70.09406055,72.22764667,115.3019683,159.814352,176.5451906,148.3432518,159.436277,60.82880764,120.3238379,128.3393911,116.9708233,97.65652303,63.637086,31.78179131,49.024651,79.25806512,95.95334489,81.70739343
    ACP: Eastern Africa,-10.1856839,-27.84974833,-5.677228559,-8.355977094,-2.533775231,-1.388688736,-16.36291569,-19.17990217,-15.07926053,-22.03541051,-21.6915006,-11.49374751,-11.25734143,-7.796431611,-3.228515727,6.547727761,12.78496304,-0.807831347,2.021757156,-2.531602047,-3.751203187,11.20683593,2.99710309,-4.433851981,-10.25133414,0.999171077,-10.4886537,-27.43231423,-1.122265704,-2.247295956,-30.00497356,-20.98179286,-33.47647387,-38.38484856,-37.28555496,-32.63600784,-28.50284318,-32.40924729,-28.46103324,-35.86389909,-34.56643158,-36.20611701,-42.94500607,-41.00491608,-46.79258855,-43.99198991,-38.63660584,-38.01494007,-38.62013385,-36.99765656,-41.37853378,-43.13836493,-41.72995459,-42.32100552,-35.64067271,-42.76669958,-43.89571209,-47.29211611,-45.44805651,-47.39202881,-53.98945217,-52.79568608,-46.97607607,-47.69829389,-51.1232738,-52.49234636,-53.57418897,-57.0011971,-51.90145722,-48.54065362,-49.11589588,-50.26842854
    ACP: Northern Africa,7.81028117,14.95605035,21.41543648,49.55857949,-30.68079198,-12.52451686,-16.68390285,3.50455285,47.60270283,-18.82852777,-27.02936855,17.01657593,-0.533152702,-28.58715704,-17.01371294,-20.60469539,-28.14342438,-5.990643534,-8.649834556,-0.255736507,-9.499477773,-3.458638997,3.795465059,-0.883807524,11.56366749,-0.434562262,-45.42686773,-50.64095556,-43.46050047,-38.86175929,-56.66501997,-51.81061685,-65.57429046,-57.70439442,-61.16179693,-53.96374912,-45.17619359,-51.48814428,-65.31141508,-42.14267426,-51.9948702,-49.67955056,-39.51495554,-65.74188476,-61.10366671,-55.83659647,-59.0516539,-54.41417788,-59.91599354,-62.38288174,-68.88465255,-44.87632509,16.35860115,-13.22778345,-20.31888798,-11.79736294,-7.288343558,-28.60525693,-29.93559574,1.188034188,24.79788356,-14.79635534,13.5317185,10.36797873,-55.94410723,-51.7061878,-52.77311563,-66.67396493,-62.77481296,-55.1069625,-55.60960454,-56.80914336
    ACP: Southern Africa,-24.5812792,-8.837587153,24.38919846,-1.452539397,9.033914591,7.982673267,3.880731873,8.305684583,16.53812348,15.58274464,4.620915345,32.24359843,20.41566986,43.89212495,47.40067141,31.43425335,7.824335279,-1.380370126,13.21815814,6.643306379,12.79894231,3.807411033,-13.66018877,-20.75803559,1.767699833,13.71550547,8.466058798,3.238905048,3.978755851,47.28855618,54.26012801,84.52017577,24.09101657,-13.33050274,-8.09664954,9.78222426,3.124385684,36.5352602,34.09973397,32.85578229,12.00498426,12.54299658,18.34950032,15.14241403,10.5450787,13.31516362,4.59680463,-10.38208161,-4.319218186,-7.269902309,-12.57312664,-2.342573718,-0.208227522,2.40470785,0.741007802,-8.862320766,-13.31298702,-15.15181316,-23.00688023,-19.16274949,-20.18785892,-19.13062421,-8.527734649,-14.40279568,-23.16136755,-23.73924748,-23.48404159,-23.47186296,-16.38054835,-12.86702786,-17.85388189,-17.82307948
    ACP: Western Africa,43.30454486,16.45103081,9.978583567,0.897554299,-8.257353079,0.284406449,11.83390941,-10.93592749,-13.27265745,-19.90318213,-10.46312139,-11.51224692,-16.69579928,-21.2423724,-20.31096842,-13.35115729,-9.098702562,-10.00950573,-0.490573492,0.671633731,7.551965129,8.494836641,6.782401677,5.424508043,19.62017174,30.74088324,92.31210294,11.34110528,14.91157793,1.540121282,-21.36221216,16.92357346,29.10176247,-17.0642334,-23.3641581,-15.00244895,18.52101861,24.51867841,10.13315494,19.3278303,2.319249066,20.58137685,49.76183023,9.715693505,6.885543694,8.277718447,10.1517067,14.14056967,46.44563306,19.45788532,-4.227039027,11.47453597,45.63401305,15.84115818,46.66362729,41.23660198,59.04656942,50.45453238,49.09304862,31.60903004,24.24741954,23.53436594,36.66090257,49.51313984,46.62299392,15.67556176,27.72375713,-8.033887686,-16.43346675,6.725481008,7.378100243,-0.663154485
  ACP: Caribbean,11.79879073,9.578903133,9.817276857,4.941648693,-7.389126248,7.988244229,-0.197157614,-4.823985808,-4.901959352,-3.044514858,-12.15264698,-17.60413285,-9.350234069,-11.55130587,-20.34338294,-22.39225657,-25.63776359,-22.34393931,-30.01583751,-26.42907673,-29.87965299,-36.52535065,-27.26123554,-35.14080542,-31.06670181,-24.83050725,-11.07115896,-6.573050701,-10.76734796,-10.94974762,-8.293983054,-3.832527932,-18.70690375,-16.39040177,-24.62229776,-20.50316927,-21.34179211,-21.07562468,-28.41120093,-27.14283581,-24.08881417,-28.11964482,-17.45047,-25.2043418,-28.19007016,-38.66897938,-34.57745859,-36.89785017,-38.25036922,-45.02435109,-49.4303299,-47.15549935,-45.22480984,-46.74700994,-48.20249131,-40.69193846,-36.41659484,-38.42319573,-33.71314561,-38.07749605,-41.08444992,-48.09103451,-43.12633062,-38.39326508,-40.48999759,-36.01379884,-41.07955407,-47.37084374,-50.86224505,-48.15296054,-50.18895252,-52.09027358
  ACP: Pacific,-4.907072889,-14.24162037,-0.216066806,-9.255389949,-7.496288966,10.56201285,-6.853491724,-11.13952184,-24.59905904,-15.62336478,-9.942186328,-3.596366928,-18.83664263,-31.53744316,-25.38409301,-20.93684667,-27.80179388,-37.19511813,-43.33631291,-45.35254558,-37.52516696,-38.01020207,-47.22094281,-51.72791845,-35.24804231,2.673035641,0.774561153,-30.29583298,-12.03418627,-9.982197614,-19.05822342,-16.48225313,-21.61071629,-34.48884808,-29.07772292,-28.95063147,-22.18016738,-19.78236488,-15.50035648,-8.74592218,-5.801394661,-19.42947267,-25.90075546,-30.76231709,-11.46603151,21.76470343,13.93983463,15.7535386,1.727582573,-10.69350045,-5.502482747,-1.805165559,6.454031355,-6.289310479,-14.99908948,-11.59777743,-17.98913235,-8.131679021,-6.609637089,-9.693827842,-8.418399484,-16.21168063,-9.18431465,-0.321732192,-13.018303,-31.00394104,5.37831687,35.21670897,37.55626106,40.1289966,36.01189367,41.88949059
ACP: LDCs,13.21386876,0.756842954,7.37349836,8.529880589,-7.403365018,3.690217243,-6.582861739,-7.64053685,-1.450098591,-16.85089131,-13.645718,0.528259028,3.700614195,-6.455370994,-0.943375036,9.385451771,11.67741183,4.957333107,12.07550918,7.433117591,10.33538753,22.45091714,18.68542999,7.081682679,4.043377885,9.614771655,7.636468306,-18.44220285,-6.231658948,-9.684557901,-27.6492851,-18.26410229,-27.18000918,-34.90589536,-32.38730371,-24.47676179,-16.7873526,-20.32174094,-28.03583095,-28.13292318,-24.7534424,-18.26963339,-18.05611256,-23.37536158,-31.51850931,-28.41583808,-26.38841383,-23.77721656,-22.01249024,-23.61160557,-33.07250826,-30.05859485,-15.76043137,-23.98203056,-21.47542678,-25.87638508,-14.84618556,-5.566987971,5.599155247,9.73220143,10.35690095,-14.17307542,5.394631872,11.1879993,-0.946402401,-8.459929607,-17.07584383,-35.62189984,-30.5346073,-18.67258192,-15.56816845,-22.69899138
ACP: LLDCs,17.13746743,-3.932537982,8.188397787,2.999769315,13.08725348,17.52436108,-8.386269213,-8.787084397,-9.690314342,-17.52118981,-21.66555711,-5.411742393,-6.049756621,-4.760670839,-0.834344012,10.71249187,23.78068548,8.625728352,15.70413767,4.84501991,6.991947632,31.3516138,22.60954676,18.40411388,0.846721966,13.31917932,4.686337432,-22.84918336,9.462071135,5.111408968,-20.1612103,-7.739110088,-22.51004406,-32.9706898,-33.68220155,-27.17001626,-22.98607993,-24.45236565,-21.58510456,-16.92577774,-20.68256966,-21.35206374,-29.86932199,-28.66990837,-41.14217544,-33.24470005,-24.64404966,-27.41809594,-31.09720923,-24.0326585,-33.80886628,-27.06440073,-25.73421477,-33.8563147,-29.29115572,-33.42576847,-26.2324269,-25.07640714,-21.10249942,-23.58305636,-35.65715523,-40.09417786,-32.73432364,-27.59449213,-33.76400632,-33.09307294,-35.66308538,-45.51920028,-39.935161,-37.42566037,-36.22256681,-39.77891155
ACP: islands states,9.087869949,4.914536003,7.969456671,1.399952994,-8.444697087,4.523904509,-3.006135976,-7.392676486,-6.970284051,-4.880971028,-11.80870128,-17.56247625,-11.98911977,-13.51706141,-21.82933094,-23.5590516,-26.1912359,-24.36893854,-32.27848774,-29.91489283,-32.83169123,-39.1798301,-31.28567278,-39.3895343,-33.27210023,-22.50840877,-11.05167804,-9.952277313,-10.99610258,-10.95992201,-11.11794426,-7.908314389,-20.59279001,-19.39167046,-25.66097646,-21.61140174,-22.24478229,-22.13730613,-27.43501771,-25.58972178,-23.38901244,-27.97446476,-21.14190434,-26.11798946,-24.94000594,-29.13573429,-27.00433922,-29.68100339,-32.97952332,-40.98219139,-44.26350024,-42.46489567,-39.83170481,-41.42195178,-44.00252772,-36.85774882,-35.48944007,-36.46378027,-32.85879606,-37.83562576,-41.24785721,-47.38270943,-42.59056134,-37.78912498,-40.79308156,-37.66200203,-36.22844527,-38.97046346,-42.36320963,-39.83883412,-41.43534022,-42.3047684
ACS (Association of Caribbean States),2.297189413,6.271396561,16.04365539,9.367184706,7.405921682,10.52477038,8.922650295,9.529448312,4.727489263,1.565309351,0.971101371,0.824409618,6.516181939,4.905298364,4.170357266,2.182668421,-1.449102742,-1.007556265,-7.1381363,0.16817903,-9.213153625,-8.915648533,-11.90339961,-18.11534684,-17.00857859,-8.109119685,5.657564271,-9.898466072,-9.395789752,-12.16896106,-17.06490575,-2.716029814,-5.959227909,-7.880896162,0.019190161,26.23665935,24.12912324,13.12457752,-2.593949086,2.815908538,-10.69061662,-4.14792789,3.355537765,-11.07640488,-24.24658009,-23.37248533,-21.79269404,-4.039303148,0.374829816,-7.744129116,-16.25755562,-9.863840414,-6.192825219,-11.68252671,-9.312340638,-6.108465952,-5.752774766,-3.786102202,-4.286685751,-8.560041458,-7.494825294,-8.462398364,-6.227177872,-2.810544132,-2.77120711,-4.402842756,-7.96804802,-15.96375257,-13.94989383,-11.14929676,-11.7705925,-11.19630266
"ADB (African Development Bank), developing member countries",-0.655474449,-20.8913891,22.96501275,10.4792981,-15.13003032,-8.3890915,-2.725934498,1.478330374,-5.904409841,-11.51370373,-5.582896859,-0.642568062,-14.17914035,-15.18692855,-13.95026763,-12.05687224,-17.96868062,-16.69735425,-18.25056348,-22.51069945,-18.85419153,-14.66679948,-14.94403269,-11.35934444,-5.6988461,-1.94942664,-6.363678591,-16.44833305,-0.218165322,2.299500856,-6.971520589,-2.408465946,-8.743014106,-12.05960633,-10.87570042,-12.72559704,-9.075342428,-19.16550012,-18.093519,-7.931645068,-11.13268629,-11.39839109,-7.515228995,-6.165903937,-5.125409092,-8.961506565,-4.548600746,-5.158422923,-6.524887602,1.449229129,15.13483385,12.75330885,9.788810832,7.291401953,7.238355692,5.191963998,2.51452807,5.443826238,10.52521681,12.6014194,9.082501363,7.927722607,4.267265377,1.224770253,0.767388701,2.354725476,6.841028501,14.25420933,12.64077607,6.268302147,1.877869501,5.25600275
  ADB: Group A,18.33165288,48.99904018,21.04500224,25.82960706,25.69091041,5.295663487,1.543491978,0.076630008,-3.015923628,-29.59898111,-20.32260609,-18.92710021,-26.56245621,-23.19774224,-20.23126403,-17.4980398,-27.95270852,-23.34935961,-24.43216082,-26.00273993,-24.52233488,-34.62780204,-38.05998558,-39.05007807,-36.85122504,-34.81073682,-29.01232037,-35.10704117,-8.269282441,-18.06981563,-27.78397347,-17.02587542,-31.47136372,-32.14379133,-39.41658036,-40.32257744,-49.71093071,-49.70880334,-55.98654014,-54.18802408,-57.93254509,-59.23554832,-57.89341059,-50.60548464,-44.44344662,-33.44869434,-40.32374919,-41.99522588,-49.01205103,-49.93373286,-49.54396064,-46.99888312,-39.53940463,-40.68032237,-33.94841428,-36.176199,-37.68582299,-31.78127538,-31.2530749,-30.80100104,-36.5108162,-39.40594298,-36.79429467,-45.37750606,-51.5379769,-51.69855704,-56.38781915,-54.19547189,-48.59591076,-48.21579166,-47.168859,-42.78931002
  ADB: Group B,2.301992716,-30.33412976,13.49218058,12.78387372,-19.28784335,5.838378947,-0.549943199,6.695478669,-20.20497773,-28.11511941,-22.31063354,-23.99413138,-40.51767164,-33.61612478,-39.58496536,-39.52026138,-42.72991096,-40.16018012,-38.47143325,-39.14614998,-32.03235863,-27.45124337,-21.72971181,-22.38846657,-6.546659894,-14.50291663,-31.60072395,-41.38099071,-18.46634222,-20.73292447,-31.6944369,-31.08654729,-45.40294398,-48.37197147,-43.78277661,-39.08698768,-44.34410424,-45.2850734,-41.33818179,-32.99116457,-31.80698101,-29.01019108,-26.16742309,-19.38246645,-17.95728941,-11.2425225,-9.302739696,-15.36035521,-15.95836254,-17.09642667,-18.58079735,-21.60456479,-16.64795491,-14.13871594,-13.23693158,-16.98375481,-22.08523016,-29.02799824,-30.40397684,-33.25465425,-38.34624105,-34.07309295,-33.51252663,-33.32023051,-37.7880331,-31.71006662,-29.84994857,-30.84387507,-27.36207377,-34.05277785,-37.20496646,-33.09831132
  ADB: Group C,-4.465429386,-15.79701407,29.25958228,8.217114475,-15.52976016,-15.12722414,-4.116303846,-0.507915037,1.000002333,-1.308982554,2.774667073,11.42603093,2.39404213,-3.553337937,6.229676315,11.35056249,3.098300069,0.730269152,-2.565330451,-11.07965373,-11.31167948,-6.321162709,-9.992237617,-4.299697187,-3.432826204,4.128776611,4.074366706,-5.440090766,6.721805309,11.65786048,3.032671014,8.287261149,6.325162039,2.109114224,1.84981686,-3.271296062,4.468144119,-9.926857266,-9.451756689,0.710679619,-4.663595824,-6.272178308,-2.19694076,-2.954276058,-1.934360623,-8.132890391,-3.192317543,-2.860066416,-4.142331697,5.653075338,23.35887811,20.72106758,14.96955909,11.64362296,11.0479477,9.070003899,6.748598792,11.94359642,18.60855206,22.10506819,20.38415023,17.69532781,12.73135411,9.56628315,10.11604235,10.12328143,15.50972433,24.88348243,21.96067535,15.95032956,11.06604485,14.1172639
African Union,-13.55816222,-15.96613625,-1.510127642,-10.4429624,-13.64547161,-7.038986077,-7.969021383,-11.72277126,-10.23015325,-15.06700535,-17.65994499,-10.17768723,-13.98134725,-12.20417641,-3.260797025,5.56159217,4.390755307,-0.64776798,6.224623313,7.064969946,17.31369912,20.88001354,11.08693742,4.385006914,13.63019199,21.36290221,38.44052741,-0.943159258,13.30912057,10.17604022,-8.135924484,30.46019165,27.3278622,-8.579460267,-10.24807997,-3.463451197,1.169025316,13.13812457,-6.125351084,-4.757531588,-17.83881648,-7.619475628,11.3957323,8.204678074,-0.377895864,-2.612141237,-6.039422794,-9.407492333,-0.306882776,-3.318378305,-20.17085204,-8.663241382,13.84462469,3.177074528,7.070457704,8.721628674,13.12278555,22.63652339,23.81530101,16.8281157,16.64523457,-4.150505931,8.691622412,7.646560697,4.649371761,-7.082025528,-12.16762791,-28.69147489,-26.03794213,-17.13328064,-15.45448027,-18.30159895
ALBA-TCP (Bolivarian Alliance for the Peoples of Our America - Peoples' Trade Treaty),22.35669173,14.87289157,36.50312479,35.55455947,31.0044647,40.54489429,29.4882528,42.75714649,38.93617934,24.4436416,26.07843611,21.40807417,54.57373919,45.53017816,34.5534612,33.01525702,35.23053162,31.76046037,25.38707148,44.98212467,19.41933718,22.61678733,26.14342292,9.061403872,3.806178362,30.14736497,88.72133985,21.93188956,8.528909984,-14.03039839,-17.03802469,20.854927,29.44676688,28.28838768,10.81637856,40.53707116,31.814667,18.94026019,-19.32926201,-12.44133819,-25.67641612,14.44599048,71.54875356,19.23215179,-6.301287003,2.865938569,36.95702558,18.21004997,66.62740982,23.95013618,-12.35017926,6.96066677,49.23142284,11.51047339,43.97362072,72.18217872,65.2801533,62.08982129,43.44982382,20.45520064,39.10920973,10.77777033,28.99811047,46.39596221,45.90700294,37.73814843,29.95384983,-15.49693816,0.349444573,28.77963166,26.11090896,-5.400237611
AMU (Arab Maghreb Union),-35.90808807,-36.48323812,-31.62243642,-40.80853601,-41.49677048,-39.03926975,-37.71323787,-36.7411777,-40.65035736,-44.83667211,-44.8506088,-52.79925966,-57.37186688,-55.11718686,-37.94672438,2.171728214,18.27943384,18.6914461,25.27978635,31.33386376,49.28503739,49.68103032,44.3988641,43.79786443,38.10073513,23.06444898,58.35470879,6.944125656,35.03601422,22.41633318,2.920196111,44.01502326,60.02161216,24.77596406,18.16060026,23.95024843,18.25360833,41.6267908,0.008777355,12.54865368,-6.30034348,-0.766112204,23.71462118,25.28604981,7.980576551,-6.678261146,-4.570856572,-5.232481122,9.821223004,11.77916712,-12.93999318,6.14474142,44.64017385,25.18574047,14.32664834,29.5216289,28.01642727,61.1954281,78.38418491,60.05062078,55.51947207,6.021200098,20.66325231,7.035224475,20.11500453,-1.205051933,-18.39228107,-34.69144516,-34.93689112,-23.97517812,-16.88943626,-18.75789897
APEC (Asia-Pacific Economic Cooperation),22.82019479,18.44066016,5.294175193,4.004700893,-0.898790649,-5.298809925,-0.868722871,-0.225452752,2.121658526,4.230411896,-1.108412193,-2.268599209,1.505830165,2.357370886,3.608395815,3.757589268,5.499925144,1.897483898,0.475836726,-1.304724254,-3.316782994,-1.373281586,0.509545027,-1.222937656,-3.797782781,-1.117121872,-8.004797667,-5.188915353,-4.65120449,-5.343696591,-4.922158336,-6.431344565,-4.933224188,-4.901463712,-1.789350791,-1.463092146,-5.480889181,-7.485806266,-5.077366433,-4.201533863,-3.564053104,-5.400662561,-6.018016494,-1.415239166,-1.513914277,-2.898170401,-3.819207048,-3.205041288,-5.447743796,-4.316893096,-1.292909038,-3.99689449,-6.575923297,-7.94617729,-8.581061074,-8.348702963,-8.565075589,-8.447783312,-6.446923927,-4.018502454,-4.811844971,-1.706845332,-2.140572304,-3.946373163,-4.925121845,-4.539033801,-2.9537894,0.146362416,-0.336276943,-1.679129682,-3.432410653,-2.448661261
APTA (Asia-Pacific Trade Agreement),-7.748111478,-33.42447009,7.10215344,-9.692057795,-25.99349546,-19.07298017,-9.584305775,-13.47353743,-15.73543132,-18.5222372,-11.73048556,-12.18019975,-23.33413103,-19.48353132,-16.31914546,-15.82695727,-18.34596696,-18.95308591,-25.13858125,-25.88140332,-23.97945927,-19.81780995,-21.02496531,-16.18740753,-3.861261554,-9.459418014,-24.27957514,-24.64504437,-6.548332441,-4.895841346,-15.69128168,-22.53730261,-25.53200689,-21.74018772,-11.97355296,-12.66302577,-14.13958715,-26.46952813,-19.11651969,-5.37085453,-5.85971488,-9.261207738,-3.10136722,-4.129187782,-3.890448251,-8.233917813,-2.534911184,-0.710674647,-5.23542272,6.379173617,23.76647327,10.74904715,5.116151624,4.533032736,5.646568976,3.159005862,3.516764198,6.832891041,9.882490618,12.04103839,7.417101442,8.247786443,3.812204886,0.01208609,1.512851356,4.468298036,8.962561097,20.87739047,19.91037458,11.85395705,6.085020772,8.590878064
ASEAN (Association of Southeast Asian Nations),-12.03570297,-16.10293284,25.63376954,17.80201746,-6.783579895,-8.630906597,-3.380920862,3.206516426,-3.311681684,-9.811157503,-4.987225537,8.543408982,0.848829568,-11.81883954,-9.526248006,-6.563674919,-11.95505322,-11.97199638,-10.30161992,-20.87303482,-22.28982385,-19.96783007,-22.28305485,-24.7005062,-22.32843284,-8.538641404,-0.066788109,-11.46807675,0.631465482,6.875726657,3.004075537,11.1014419,9.559548583,-1.157371974,-6.978609039,-7.753087774,3.896366276,8.91227703,4.167787372,2.685916418,-0.817302539,-4.322881463,-11.20944004,-10.0030099,-7.690382252,-8.102141504,-6.788154822,-9.541436258,-9.355695736,-6.806545735,15.27823506,16.79312545,13.0207007,11.54311319,11.09896086,15.29065934,10.78843169,8.93322467,11.9350207,11.63858252,5.429878421,11.94530747,10.17062203,7.382161363,2.489534663,2.254489997,4.225772937,6.309529559,5.80918959,4.563995781,1.337200506,2.478348204
"ASEAN (Association of Southeast Asian Nations) plus China, Japan and Republic of Korea",-19.77716797,-24.826364,12.31609019,-4.191349255,-19.98960717,-26.34672317,-16.42287772,-11.33426293,-11.98502347,-18.52015455,-5.0858254,1.862991615,-6.497729952,-17.39971099,-8.190581422,-10.9990004,-10.68296501,-2.013106617,-3.158324173,-14.0949562,-9.636609089,-4.574179037,-8.000219776,3.998544751,7.078787712,-4.792730491,-9.523679847,-7.628701045,1.674495925,9.522754601,11.09661808,-4.815667351,-4.495772119,1.099393051,0.847252314,5.33872158,12.5066866,13.62676008,28.87233746,26.76826433,19.37858198,11.5122183,7.281961505,10.21595174,15.15293443,13.34611332,13.16925063,8.344084463,1.782734309,8.771257148,29.1749108,23.68552532,16.17537397,11.69084281,13.98585583,13.87213501,13.00127835,12.65321512,14.50142739,17.01973928,10.85027299,13.48623007,11.3973261,5.580561846,4.537173452,4.699062398,7.952877631,18.90811043,18.97712065,14.07059343,8.856191734,10.20890199
CACM (Central American Common Market),34.41232789,6.013153774,25.78806768,14.86578553,10.10336779,11.60350538,5.959271732,-2.729516869,-9.337701361,-10.94599493,-10.64731391,-5.503285381,-11.84062625,-5.273242253,-3.697970741,-9.556345364,-12.23785299,-14.3594438,-10.83734381,-16.93155072,-8.925589075,-8.561986264,-10.23121153,-14.36605415,-3.280274471,-9.903336014,-26.70426491,-21.61323751,-8.806965259,-5.269785748,-14.93313732,-8.289892522,-20.53177572,-26.25186936,-18.5590358,-16.54401133,-22.16524205,-25.42305908,-15.75779163,-30.61590446,-30.91522033,-31.49499184,-31.16958197,-33.97121085,-41.0790578,-38.17010217,-36.39644385,-31.05318152,-27.99044708,-26.94560608,-28.26718359,-26.52805111,-29.46828527,-36.66255096,-34.9662004,-34.73412491,-36.50229427,-38.30355239,-39.90459968,-41.48559054,-44.26051505,-34.82645684,-35.53452833,-36.58179297,-36.82307203,-38.14220917,-36.86377929,-38.06479828,-33.57621929,-34.78743784,-38.3515777,-35.81607094
CAN (Andean Community),-0.80426075,9.728584415,10.33378192,8.22159596,8.202064849,2.578590758,0.227573614,-9.741615661,-13.67860371,-2.704129794,3.067727989,13.63117548,1.180508439,-8.05159933,-5.05895072,-9.463641887,2.456209064,1.038778688,-14.47865093,-4.990168877,6.22758125,7.859998345,13.46586271,-11.03615416,5.561092176,13.49458732,11.81999743,-25.32984599,-2.935866418,10.71478978,10.50004335,27.18475684,9.924440144,-17.25876432,-15.3031554,-1.541866868,17.33169875,20.2357329,19.51308847,-5.244278573,1.111879249,30.60809385,26.6313742,27.54148694,0.434702385,-20.74186583,-20.76511768,-22.2847116,-17.27418508,-19.400068,-27.81652037,4.095486176,6.733507637,-7.135011223,-8.603835997,-2.059191316,5.416551274,10.90054285,14.86156752,8.71569166,0.462809444,5.773147435,2.80371059,7.742093165,5.091526014,-0.976419854,-8.44029759,-21.17689659,-12.44272202,-5.18042153,-4.882617322,-7.138922011
